Date,T-BILL1Y,Value
05/06/2012,3.152435,1
06/06/2012,3.151029,0
07/06/2012,3.145402,0
08/06/2012,3.146809,1
11/06/2012,3.146809,1
12/06/2012,3.146809,1
13/06/2012,3.145402,0
14/06/2012,3.145402,1
15/06/2012,3.145402,1
18/06/2012,3.141183,0
19/06/2012,3.141183,1
20/06/2012,3.141183,1
21/06/2012,3.145402,1
22/06/2012,3.143996,0
25/06/2012,3.143996,1
26/06/2012,3.143996,1
27/06/2012,3.143996,1
28/06/2012,3.143996,1
29/06/2012,3.143996,1
02/07/2012,3.146809,1
03/07/2012,3.146809,1
04/07/2012,3.152435,1
05/07/2012,3.156655,1
06/07/2012,3.159468,1
09/07/2012,3.162281,1
10/07/2012,3.162984,1
11/07/2012,3.16439,1
12/07/2012,3.161577,0
13/07/2012,3.161577,1
16/07/2012,3.146106,0
17/07/2012,3.129226,0
18/07/2012,3.101794,0
19/07/2012,3.100387,0
20/07/2012,3.091946,0
23/07/2012,3.055362,0
24/07/2012,3.041289,0
25/07/2012,3.03566,0
26/07/2012,3.031438,0
27/07/2012,3.030031,0
30/07/2012,3.020179,0
31/07/2012,3.010327,0
01/08/2012,3.008919,0
03/08/2012,3.003289,0
06/08/2012,3.001882,0
07/08/2012,2.986398,0
08/08/2012,2.98499,0
09/08/2012,2.98499,1
10/08/2012,2.982175,0
14/08/2012,2.98499,1
15/08/2012,2.980767,0
16/08/2012,2.989213,1
17/08/2012,2.986398,0
20/08/2012,2.992028,1
21/08/2012,3.006104,1
22/08/2012,3.008919,1
23/08/2012,3.009154,1
24/08/2012,3.006104,0
27/08/2012,3.001882,0
28/08/2012,3.003289,1
29/08/2012,3.000943,0
30/08/2012,3.003289,1
31/08/2012,3.003289,1
03/09/2012,3.000474,0
04/09/2012,3.003289,1
05/09/2012,3.003289,1
06/09/2012,3.004697,1
07/09/2012,3.004697,1
10/09/2012,3.004227,0
11/09/2012,3.013142,1
12/09/2012,3.018772,1
13/09/2012,3.014549,0
14/09/2012,3.011734,0
17/09/2012,3.018772,1
18/09/2012,3.021586,1
19/09/2012,3.020179,0
20/09/2012,3.020179,1
21/09/2012,3.018772,0
24/09/2012,3.018772,1
25/09/2012,3.024401,1
26/09/2012,3.020179,0
27/09/2012,3.020179,1
28/09/2012,3.021586,1
01/10/2012,3.037068,1
02/10/2012,3.061147,1
03/10/2012,3.057665,0
04/10/2012,3.056769,0
05/10/2012,3.055874,0
08/10/2012,3.054799,0
09/10/2012,3.05453,0
