Date,Open,High,Low,Close,Adj Close,Volume
2018-11-15,8094.959961,8197.459961,7643.049805,7852.770020,7852.770020,3183197
2018-11-16,7852.770020,8025.870117,7344.910156,7704.250000,7704.250000,2370869
2018-11-17,7691.049805,7873.259766,7302.919922,7679.879883,7679.879883,948576
2018-11-18,7679.879883,7954.089844,7419.060059,7685.549805,7685.549805,1171721
2018-11-19,7685.549805,7886.959961,6564.479980,6666.479980,6666.479980,4982536
2018-11-20,6666.479980,6897.750000,5907.140137,6290.200195,6290.200195,7408808
2018-11-21,6292.629883,6547.830078,5970.299805,6294.379883,6294.379883,3507129
2018-11-22,6294.379883,6814.979980,6012.649902,6013.720215,6013.720215,2367138
2018-11-23,6013.720215,6294.979980,5574.819824,6032.399902,6032.399902,4380679
2018-11-24,6032.399902,6447.709961,5226.850098,5331.370117,5331.370117,3559164
2018-11-25,5331.370117,5721.569824,4926.209961,5559.819824,5559.819824,4476473
2018-11-26,5557.120117,5820.600098,5060.430176,5295.950195,5295.950195,3327121
2018-11-27,5295.950195,5692.629883,4975.819824,5278.509766,5278.509766,2839461
2018-11-28,5278.509766,6203.299805,5145.339844,5903.029785,5903.029785,3501093
2018-11-29,5903.029785,6321.399902,5682.229980,6046.040039,6046.040039,2553456
2018-11-30,6046.040039,6418.799805,5457.879883,5547.580078,5547.580078,2199502
2018-12-01,5581.259766,6050.979980,5410.680176,5858.839844,5858.839844,1153092
2018-12-02,5858.839844,6261.180176,5556.140137,6020.100098,6020.100098,2041760
2018-12-03,6020.100098,6079.669922,5306.220215,5426.160156,5426.160156,2843538
2018-12-04,5426.160156,5762.759766,5224.100098,5434.959961,5434.959961,2095460
2018-12-05,5434.959961,5904.020020,5253.009766,5328.520020,5328.520020,1581502
2018-12-06,5328.520020,5666.810059,4969.939941,5051.149902,5051.149902,2647806
2018-12-07,5051.149902,5051.959961,4659.640137,4841.609863,4841.609863,5898803
2018-12-08,4841.609863,5302.640137,4701.229980,4829.700195,4829.700195,3413235
2018-12-09,4829.700195,5229.189941,4636.649902,5113.700195,5113.700195,1409172
